Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,8162.759766,8222.599609,8092.919922,8139.060059,8139.060059,0
2016-04-29,8140.839844,8174.640137,8018.229980,8052.250000,8052.250000,0
2016-05-02,8052.669922,8079.890137,8023.000000,8043.140137,8043.140137,0
2016-05-03,8042.479980,8042.479980,7919.270020,7932.950195,7932.950195,0
2016-05-04,7931.060059,7955.180176,7828.939941,7954.370117,7954.370117,0
2016-05-05,7955.009766,8003.799805,7837.430176,7855.129883,7855.129883,0
2016-05-06,7854.959961,7898.770020,7794.729980,7836.649902,7836.649902,0
2016-05-09,7836.169922,7843.290039,7664.290039,7757.209961,7757.209961,0
2016-05-10,7757.319824,8012.049805,7757.319824,8008.819824,8008.819824,0
2016-05-11,8009.490234,8120.520020,7940.649902,7940.649902,7940.649902,0
2016-05-12,7940.839844,8121.669922,7940.839844,8076.620117,8076.620117,0
2016-05-13,8076.240234,8076.240234,7857.660156,7927.959961,7927.959961,0
2016-05-16,7927.600098,8000.299805,7876.580078,7958.700195,7958.700195,0
2016-05-17,7959.629883,7979.700195,7807.359863,7847.509766,7847.509766,0
2016-05-18,7848.000000,7887.970215,7758.729980,7804.990234,7804.990234,0
2016-05-19,7805.089844,7805.089844,7694.450195,7754.430176,7754.430176,0
2016-05-20,7754.470215,7818.680176,7746.169922,7762.470215,7762.470215,0
2016-05-23,7762.509766,7762.509766,7618.120117,7674.850098,7674.850098,0
2016-05-24,7674.850098,7759.490234,7674.370117,7685.330078,7685.330078,0
2016-05-25,7685.799805,7812.939941,7660.100098,7665.009766,7665.009766,0
2016-05-27,7664.450195,7747.370117,7601.290039,7634.419922,7634.419922,0
2016-05-30,7634.299805,7652.439941,7609.799805,7613.819824,7613.819824,0
2016-05-31,7614.049805,7644.819824,7587.160156,7622.009766,7622.009766,0
2016-06-01,7620.750000,7689.439941,7601.060059,7686.129883,7686.129883,0
2016-06-02,7686.049805,7856.459961,7669.890137,7847.390137,7847.390137,0
2016-06-03,7847.770020,7936.870117,7847.770020,7936.870117,7936.870117,0
2016-06-06,7936.810059,7986.149902,7865.149902,7897.080078,7897.080078,0
2016-06-07,7896.970215,7896.970215,7835.919922,7871.160156,7871.160156,0
2016-06-08,7871.970215,8009.330078,7871.970215,7977.950195,7977.950195,0
2016-06-09,7979.220215,7988.810059,7897.350098,7912.169922,7912.169922,0
2016-06-10,7911.799805,7911.799805,7736.240234,7736.669922,7736.669922,0
2016-06-13,7736.669922,7803.240234,7658.229980,7789.790039,7789.790039,0
2016-06-14,7790.259766,7792.689941,7579.310059,7631.979980,7631.979980,0
2016-06-15,7631.899902,7694.370117,7561.180176,7667.450195,7667.450195,0
2016-06-16,7667.450195,7735.640137,7537.859863,7735.640137,7735.640137,0
2016-06-17,7734.790039,7817.830078,7731.169922,7736.049805,7736.049805,0
2016-06-20,7738.049805,7891.819824,7738.049805,7850.759766,7850.759766,0
2016-06-21,7850.209961,7975.459961,7796.890137,7972.770020,7972.770020,0
2016-06-22,7971.660156,7981.450195,7820.200195,7834.200195,7834.200195,0
2016-06-23,7835.790039,8054.169922,7835.790039,8039.779785,8039.779785,0
2016-06-24,8040.220215,8040.220215,7760.379883,7856.339844,7856.339844,0
2016-06-27,7855.689941,7855.689941,7717.220215,7787.040039,7787.040039,0
2016-06-28,7787.419922,7896.419922,7767.750000,7794.040039,7794.040039,0
2016-06-29,7794.560059,7946.240234,7794.560059,7918.479980,7918.479980,0
2016-06-30,7918.290039,7975.000000,7844.410156,7965.680176,7965.680176,0
2016-07-01,7967.879883,8072.950195,7967.879883,8053.729980,8053.729980,0
2016-07-04,8053.899902,8190.330078,8053.899902,8155.759766,8155.759766,0
2016-07-05,8154.520020,8154.520020,8037.569824,8069.319824,8069.319824,0
2016-07-06,8069.229980,8069.609863,7933.540039,8053.750000,8053.750000,0
2016-07-07,8053.750000,8119.370117,8033.529785,8055.470215,8055.470215,0
2016-07-08,8055.529785,8203.070313,8055.529785,8193.009766,8193.009766,0
2016-07-11,8193.990234,8297.389648,8193.990234,8286.429688,8286.429688,0
2016-07-12,8287.009766,8386.679688,8287.009766,8338.019531,8338.019531,0
2016-07-13,8338.009766,8374.089844,8281.040039,8361.009766,8361.009766,0
2016-07-14,8361.160156,8470.580078,8360.700195,8436.919922,8436.919922,0
2016-07-15,8436.870117,8469.040039,8385.019531,8467.450195,8467.450195,0
2016-07-18,8467.120117,8567.650391,8417.040039,8567.650391,8567.650391,0
2016-07-19,8568.759766,8633.820313,8543.440430,8633.820313,8633.820313,0
2016-07-20,8634.070313,8655.360352,8557.019531,8581.889648,8581.889648,0
2016-07-21,8582.629883,8611.620117,8558.629883,8611.129883,8611.129883,0
2016-07-22,8611.509766,8723.490234,8605.580078,8703.919922,8703.919922,0
2016-07-25,8705.459961,8705.889648,8602.940430,8662.820313,8662.820313,0
2016-07-26,8662.820313,8718.139648,8635.589844,8641.990234,8641.990234,0
2016-07-27,8644.040039,8691.889648,8644.040039,8655.750000,8655.750000,0
2016-07-28,8655.919922,8706.709961,8573.549805,8706.709961,8706.709961,0
2016-07-29,8706.709961,8824.259766,8649.309570,8807.419922,8807.419922,0
2016-08-01,8807.790039,8851.599609,8759.750000,8770.139648,8770.139648,0
2016-08-02,8770.469727,8770.469727,8561.240234,8647.719727,8647.719727,0
2016-08-03,8647.469727,8701.089844,8564.540039,8691.150391,8691.150391,0
2016-08-04,8692.179688,8829.719727,8682.820313,8767.379883,8767.379883,0
2016-08-05,8767.370117,8824.639648,8743.980469,8813.299805,8813.299805,0
2016-08-08,8813.959961,8842.750000,8791.799805,8810.580078,8810.580078,0
2016-08-09,8811.309570,8860.509766,8798.519531,8810.669922,8810.669922,0
2016-08-10,8810.990234,8848.400391,8709.099609,8739.360352,8739.360352,0
2016-08-11,8739.070313,8912.360352,8734.530273,8910.089844,8910.089844,0
2016-08-12,8910.089844,8939.849609,8822.490234,8875.969727,8875.969727,0
2016-08-15,8875.589844,9007.469727,8872.639648,8972.360352,8972.360352,0
2016-08-16,8972.040039,8977.080078,8879.230469,8901.110352,8901.110352,0
2016-08-17,8901.040039,8935.219727,8746.669922,8934.919922,8934.919922,0
2016-08-18,8934.919922,8953.690430,8853.469727,8885.830078,8885.830078,0
2016-08-19,8883.049805,8925.690430,8824.950195,8907.190430,8907.190430,0
2016-08-22,8907.000000,8908.139648,8705.519531,8733.809570,8733.809570,0
2016-08-23,8733.809570,8829.379883,8733.809570,8748.900391,8748.900391,0
2016-08-24,8748.469727,8812.570313,8681.179688,8741.889648,8741.889648,0
2016-08-25,8743.519531,8786.370117,8714.219727,8728.049805,8728.049805,0
2016-08-26,8729.059570,8845.440430,8658.849609,8721.530273,8721.530273,0
2016-08-29,8721.860352,8891.910156,8720.830078,8851.240234,8851.240234,0
2016-08-30,8851.240234,8863.769531,8790.009766,8820.440430,8820.440430,0
2016-08-31,8820.629883,8859.040039,8688.679688,8769.320313,8769.320313,0
2016-09-01,8769.169922,8818.709961,8728.730469,8802.150391,8802.150391,0
2016-09-02,8802.339844,8993.519531,8802.339844,8986.589844,8986.589844,0
2016-09-05,8986.580078,9027.280273,8945.490234,8946.879883,8946.879883,0
